,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,avggift
929,IL,F,375.0,267.0,270.0,295.0,296.0,20.0
930,AL,F,397.0,,329.0,336.0,386.0,
931,MI,F,584.0,283.0,386.0,307.0,386.0,15.0
932,WA,F,534.0,206.0,231.0,248.0,272.0,13.55555556
933,MI,M,362.0,209.0,235.0,246.0,275.0,9.722222222
934,,M,991.0,493.0,,532.0,548.0,5.8
935,CA,,1805.0,398.0,394.0,441.0,,10.66666667
936,MN,F,476.0,,274.0,236.0,,10.73333333
937,CA,F,2250.0,181.0,159.0,192.0,167.0,6.0
938,TX,F,340.0,180.0,227.0,235.0,279.0,15.33333333
939,,F,482.0,302.0,328.0,396.0,462.0,12.5
940,WI,F,322.0,233.0,258.0,,320.0,15.0
941,TX,F,655.0,406.0,432.0,430.0,481.0,9.0
942,MN,F,908.0,487.0,482.0,499.0,493.0,5.090909091
943,WA,F,718.0,,508.0,497.0,541.0,11.07692308
944,CA,M,2750.0,252.0,332.0,302.0,392.0,10.66666667
945,GA,M,397.0,184.0,219.0,237.0,285.0,
946,MI,M,1040.0,220.0,309.0,256.0,278.0,7.9375
947,AR,M,675.0,186.0,238.0,207.0,265.0,6.111111111
948,FL,M,719.0,381.0,398.0,389.0,410.0,11.33333333
949,FL,F,588.0,233.0,249.0,254.0,266.0,8.333333333
950,IL,F,1053.0,368.0,419.0,402.0,465.0,8.333333333
951,IL,F,419.0,279.0,295.0,296.0,303.0,
952,TX,,481.0,172.0,218.0,227.0,264.0,15.0
953,GA,F,803.0,397.0,407.0,432.0,441.0,
954,CA,F,886.0,318.0,339.0,,388.0,5.222222222
955,NC,F,1093.0,580.0,587.0,629.0,636.0,7.333333333
956,MO,F,257.0,148.0,264.0,194.0,273.0,10.125
957,AR,,1453.0,419.0,426.0,486.0,497.0,25.0
958,NC,F,821.0,427.0,433.0,456.0,475.0,6.654411765
959,TX,M,931.0,416.0,636.0,543.0,725.0,15.0
960,MO,F,496.0,330.0,,360.0,390.0,5.571428571
961,MS,,463.0,181.0,231.0,227.0,258.0,12.75
962,FL,,1093.0,364.0,424.0,,441.0,9.25
963,AR,M,852.0,344.0,450.0,394.0,498.0,12.5
964,FL,F,1074.0,505.0,524.0,528.0,553.0,
965,FL,F,1452.0,352.0,,410.0,467.0,
966,MI,F,813.0,246.0,263.0,297.0,313.0,9.25
967,TX,M,333.0,205.0,219.0,278.0,319.0,
968,SC,F,536.0,261.0,296.0,,307.0,4.944444444
969,MI,F,850.0,484.0,501.0,465.0,495.0,8.230769231
970,IL,F,443.0,268.0,347.0,320.0,380.0,5.727272727
971,MS,M,467.0,206.0,261.0,260.0,308.0,6.666666667
972,CA,F,1207.0,,303.0,458.0,488.0,7.25
973,NE,M,490.0,250.0,299.0,288.0,345.0,3.269230769
974,,F,805.0,207.0,243.0,237.0,289.0,8.266666667
975,LA,M,638.0,220.0,243.0,255.0,291.0,15.66666667
976,CO,M,1208.0,571.0,594.0,616.0,660.0,15.0
977,MO,M,198.0,208.0,252.0,261.0,297.0,15.0
978,OR,M,443.0,204.0,218.0,,267.0,10.42857143
979,MO,,1284.0,410.0,539.0,532.0,642.0,13.44444444
980,MO,,675.0,,352.0,343.0,365.0,5.785714286
981,MI,F,668.0,272.0,369.0,,391.0,6.411764706
982,FL,F,575.0,232.0,259.0,255.0,,7.666666667
983,CA,F,2375.0,428.0,471.0,,571.0,
984,CA,F,1091.0,330.0,,382.0,397.0,11.95238095
985,OR,M,1015.0,354.0,360.0,404.0,422.0,
986,KS,M,1413.0,634.0,665.0,727.0,755.0,8.285714286
987,WA,M,849.0,281.0,327.0,327.0,380.0,
988,OR,F,871.0,309.0,344.0,362.0,390.0,9.55
989,,F,571.0,300.0,333.0,336.0,366.0,15.0
990,TX,F,375.0,182.0,207.0,208.0,232.0,15.0
991,,F,466.0,211.0,252.0,244.0,289.0,5.625
992,CA,M,1668.0,648.0,664.0,663.0,668.0,13.38461539
993,FL,M,546.0,283.0,,344.0,322.0,
994,,M,713.0,360.0,372.0,408.0,429.0,11.3125
995,NM,,576.0,263.0,,,338.0,6.04
996,FL,F,585.0,459.0,393.0,445.0,427.0,13.58333333
997,CA,F,2022.0,441.0,,496.0,569.0,4.777777778
998,AR,F,786.0,220.0,264.0,274.0,318.0,6.222222222
999,CA,F,1406.0,431.0,536.0,453.0,556.0,15.0
1000,GA,F,503.0,239.0,275.0,287.0,324.0,20.0
1001,MO,F,1602.0,459.0,475.0,561.0,593.0,18.42105263
1002,FL,M,736.0,,276.0,311.0,316.0,10.4
1003,LA,F,393.0,130.0,147.0,178.0,213.0,4.363636364
1004,,F,987.0,430.0,469.0,476.0,521.0,10.0
1005,NC,F,529.0,254.0,301.0,284.0,326.0,2.439814815
1006,CA,M,2397.0,409.0,486.0,402.0,459.0,9.9
1007,MO,M,651.0,336.0,415.0,395.0,459.0,3.578947368
1008,TX,F,1711.0,400.0,806.0,566.0,810.0,16.0
1009,,F,473.0,300.0,319.0,333.0,,8.666666667
1010,TX,M,775.0,494.0,465.0,489.0,467.0,25.0
1011,IN,F,505.0,,330.0,316.0,356.0,20.0
1012,WI,,416.0,247.0,297.0,292.0,340.0,15.0
1013,NC,F,678.0,260.0,,303.0,,8.777777778
1014,CA,F,1158.0,369.0,398.0,373.0,386.0,4.090909091
1015,TN,F,861.0,248.0,314.0,278.0,328.0,7.0
1016,SC,,407.0,,193.0,221.0,260.0,16.66666667
1017,IL,M,1094.0,363.0,388.0,421.0,444.0,20.83333333
1018,IL,M,485.0,297.0,309.0,329.0,340.0,21.25
1019,LA,M,445.0,180.0,210.0,226.0,256.0,6.321428571
1020,NE,M,2458.0,1178.0,1203.0,,1118.0,13.58139535
1021,,F,1428.0,301.0,277.0,322.0,297.0,
1022,IL,F,693.0,407.0,399.0,390.0,386.0,
1023,IL,M,873.0,211.0,291.0,251.0,,3.173913044
1024,,F,2807.0,478.0,497.0,504.0,542.0,12.75
1025,TX,M,351.0,,278.0,283.0,304.0,
1026,CA,F,2067.0,489.0,534.0,540.0,583.0,450.0
1027,IL,F,999.0,411.0,,465.0,496.0,18.71428571
1028,FL,M,419.0,218.0,243.0,277.0,,8.75
1029,IL,M,962.0,327.0,479.0,361.0,,
1030,NM,,542.0,220.0,252.0,,298.0,
1031,OK,M,780.0,,323.0,345.0,414.0,14.14285714
1032,OK,F,1229.0,546.0,649.0,555.0,700.0,5.214285714
1033,TX,F,928.0,408.0,452.0,444.0,452.0,12.83333333
1034,KY,M,335.0,137.0,205.0,166.0,195.0,
1035,IA,M,337.0,220.0,,258.0,301.0,9.714285714
1036,CA,M,1126.0,243.0,,275.0,285.0,20.8
1037,FL,M,1987.0,403.0,524.0,567.0,,14.0
1038,OR,F,1093.0,315.0,431.0,386.0,483.0,25.0
1039,MO,M,238.0,176.0,225.0,233.0,287.0,6.636363636
1040,TN,F,966.0,517.0,528.0,547.0,569.0,7.714285714
1041,KY,M,377.0,,252.0,276.0,,10.25
1042,NE,F,825.0,417.0,459.0,453.0,503.0,4.0
1043,IL,M,962.0,391.0,444.0,452.0,,
1044,NM,M,1082.0,482.0,566.0,522.0,609.0,10.08333333
1045,CA,M,2362.0,613.0,632.0,655.0,678.0,13.375
1046,CA,,2163.0,484.0,522.0,537.0,581.0,4.833333333
1047,MN,M,359.0,168.0,258.0,203.0,269.0,11.91666667
1048,NC,F,685.0,271.0,314.0,339.0,396.0,5.692307692
1049,NC,F,603.0,173.0,215.0,239.0,329.0,9.857142857
1050,IL,M,682.0,322.0,,297.0,336.0,12.33333333
1051,KS,,581.0,295.0,349.0,349.0,402.0,17.0
1052,IL,F,380.0,,277.0,299.0,351.0,11.66666667
1053,FL,F,1229.0,469.0,502.0,507.0,544.0,7.5
1054,,F,689.0,313.0,320.0,,350.0,12.0
1055,CA,M,1715.0,,619.0,647.0,660.0,
1056,FL,,762.0,254.0,355.0,327.0,411.0,8.761904762
1057,TX,,683.0,449.0,471.0,484.0,507.0,6.8125
1058,WA,F,1648.0,395.0,488.0,480.0,542.0,8.538461539
1059,FL,F,484.0,150.0,243.0,195.0,266.0,20.0
1060,CO,M,645.0,214.0,308.0,251.0,313.0,8.916666667
1061,MI,,577.0,375.0,380.0,,,9.571428571
1062,WA,M,1642.0,,388.0,349.0,485.0,
1063,TX,F,1163.0,378.0,459.0,439.0,526.0,
1064,NC,F,675.0,305.0,373.0,,427.0,6.409090909
1065,MI,F,602.0,336.0,366.0,363.0,,9.0
1066,CA,F,746.0,346.0,352.0,,368.0,
1067,MI,F,459.0,116.0,518.0,280.0,,
1068,WA,F,922.0,232.0,298.0,298.0,,8.5
1069,FL,,833.0,,350.0,329.0,387.0,
1070,MN,M,1793.0,781.0,796.0,832.0,849.0,14.28571429
1071,TN,F,470.0,235.0,292.0,275.0,,12.5
1072,OK,,338.0,203.0,254.0,242.0,284.0,5.076923077
1073,SC,M,420.0,225.0,253.0,249.0,285.0,4.9
1074,TX,M,1576.0,388.0,418.0,528.0,579.0,12.85714286
1075,WI,F,677.0,282.0,303.0,,370.0,8.428571429
1076,MI,F,559.0,344.0,361.0,378.0,,11.0
1077,FL,M,731.0,350.0,385.0,401.0,,15.0
1078,WA,M,1196.0,327.0,,382.0,456.0,10.46153846
1079,WI,F,718.0,410.0,443.0,425.0,462.0,8.578947368
1080,MO,M,460.0,223.0,265.0,257.0,297.0,11.0
1081,CA,M,2257.0,485.0,541.0,,,6.5
1082,CO,F,726.0,370.0,426.0,,406.0,9.2
1083,CA,M,1327.0,397.0,409.0,435.0,442.0,11.33333333
1084,FL,M,956.0,348.0,344.0,,417.0,11.44444444
1085,FL,M,565.0,154.0,163.0,180.0,193.0,
1086,OR,,987.0,,440.0,400.0,,12.11111111
1087,MN,F,1138.0,545.0,,602.0,,9.68
1088,FL,F,535.0,226.0,236.0,250.0,,4.285714286
1089,IL,F,427.0,71.0,141.0,121.0,253.0,
1090,WA,F,1413.0,,329.0,397.0,,6.666666667
1091,WA,,1180.0,333.0,385.0,414.0,464.0,12.9
1092,AR,M,318.0,53.0,105.0,113.0,,17.45454546
1093,,F,554.0,414.0,,432.0,445.0,7.866666667
1094,TX,F,1900.0,,582.0,,664.0,5.2
1095,AR,M,866.0,387.0,453.0,428.0,,25.0
1096,TX,F,1223.0,313.0,419.0,444.0,538.0,9.0
1097,CA,F,2324.0,374.0,404.0,445.0,484.0,10.6
1098,MO,F,2528.0,,591.0,542.0,686.0,24.77777778
1099,WA,F,1183.0,217.0,528.0,,628.0,37.5
1100,TX,M,655.0,318.0,315.0,328.0,324.0,8.75
1101,NC,F,399.0,211.0,259.0,249.0,295.0,6.2
1102,MN,M,418.0,190.0,290.0,244.0,403.0,10.71428571
1103,IL,M,595.0,,394.0,406.0,419.0,8.875
1104,SC,F,548.0,289.0,327.0,340.0,388.0,
1105,TX,F,1125.0,227.0,287.0,246.0,279.0,10.25
1106,NE,F,503.0,261.0,267.0,290.0,308.0,8.863636364
1107,,F,545.0,257.0,265.0,301.0,301.0,17.625
1108,AL,F,455.0,,350.0,321.0,389.0,12.0
1109,GA,M,1201.0,317.0,,426.0,,7.818181818
1110,TX,M,592.0,188.0,406.0,240.0,359.0,16.27272727
1111,WI,,614.0,340.0,388.0,377.0,428.0,7.636363636
1112,IL,M,302.0,208.0,216.0,207.0,203.0,11.25
1113,CA,F,2312.0,456.0,516.0,531.0,589.0,6.333333333
1114,FL,M,440.0,164.0,186.0,220.0,254.0,9.666666667
1115,MN,F,569.0,276.0,315.0,317.0,350.0,9.727272727
1116,TN,M,690.0,194.0,371.0,263.0,411.0,5.0
1117,IL,F,438.0,159.0,146.0,165.0,156.0,20.66666667
1118,CA,F,2166.0,415.0,402.0,,445.0,8.095238095
1119,MS,M,394.0,188.0,220.0,227.0,,
1120,KY,F,630.0,300.0,327.0,321.0,361.0,9.2
1121,FL,F,1171.0,483.0,512.0,544.0,570.0,5.2
1122,TN,M,1103.0,467.0,503.0,497.0,524.0,
1123,WI,,673.0,293.0,335.0,296.0,348.0,11.5
1124,CA,F,1633.0,286.0,318.0,306.0,351.0,
1125,KY,M,428.0,166.0,304.0,,334.0,9.1875
1126,TX,F,262.0,150.0,194.0,186.0,228.0,15.0
1127,MI,F,905.0,470.0,533.0,549.0,605.0,
1128,CA,F,1693.0,423.0,467.0,457.0,,11.66666667
1129,FL,F,1806.0,243.0,312.0,338.0,,2.795454546
1130,MI,M,630.0,355.0,396.0,395.0,437.0,13.0
1131,AR,,389.0,,234.0,253.0,286.0,12.66666667
1132,,M,417.0,,199.0,,282.0,13.0
1133,WA,M,731.0,304.0,355.0,,382.0,6.578947368
1134,NV,F,1569.0,673.0,672.0,785.0,781.0,12.5
1135,AR,F,335.0,166.0,207.0,207.0,239.0,4.606060606
1136,FL,M,1357.0,521.0,534.0,571.0,587.0,
1137,WA,M,883.0,294.0,315.0,355.0,363.0,14.25
1138,,M,982.0,318.0,388.0,341.0,384.0,20.0
1139,MI,M,663.0,432.0,501.0,,534.0,
1140,NC,M,827.0,240.0,275.0,297.0,,6.3125
1141,MI,F,266.0,146.0,167.0,217.0,,
1142,CA,M,1967.0,,409.0,403.0,436.0,10.5
1143,OR,F,470.0,305.0,339.0,318.0,355.0,5.625
1144,MI,M,626.0,356.0,388.0,392.0,440.0,9.8
1145,WA,,1521.0,412.0,422.0,497.0,543.0,8.571428571
1146,OR,F,584.0,282.0,,318.0,347.0,10.4
1147,NC,F,588.0,257.0,288.0,285.0,318.0,19.0
1148,IL,F,1063.0,294.0,360.0,354.0,,20.0
1149,IL,F,588.0,272.0,345.0,331.0,387.0,13.33333333
1150,FL,F,663.0,293.0,315.0,305.0,340.0,11.66666667
1151,AR,F,582.0,,308.0,,340.0,4.272727273
1152,NC,F,1497.0,581.0,678.0,667.0,,6.928571429
1153,IL,F,281.0,280.0,314.0,274.0,342.0,
1154,MI,M,784.0,289.0,378.0,332.0,400.0,11.0
1155,FL,M,645.0,226.0,249.0,257.0,284.0,5.285714286
1156,IN,M,544.0,330.0,403.0,360.0,433.0,5.133333333
1157,MN,F,896.0,291.0,335.0,340.0,438.0,8.6
1158,NV,M,398.0,248.0,303.0,292.0,337.0,8.45
1159,TX,F,900.0,273.0,337.0,336.0,455.0,13.6
1160,IL,M,1421.0,435.0,,,662.0,5.714285714
1161,GA,F,405.0,166.0,208.0,215.0,254.0,6.666666667
1162,KY,M,297.0,,178.0,185.0,187.0,21.0
1163,KS,F,317.0,231.0,249.0,,249.0,4.885769231
1164,CA,F,2184.0,351.0,376.0,394.0,419.0,12.5
1165,CO,M,1848.0,643.0,688.0,705.0,765.0,8.35
1166,AL,M,710.0,402.0,429.0,433.0,457.0,
1167,TX,,846.0,538.0,541.0,595.0,602.0,5.181818182
1168,AL,,2432.0,,1332.0,1057.0,1105.0,
1169,OK,M,393.0,195.0,212.0,222.0,221.0,15.55555556
1170,TX,,600.0,420.0,461.0,467.0,479.0,8.727272727
1171,OR,F,605.0,223.0,326.0,,323.0,12.25
1172,,F,711.0,267.0,305.0,307.0,363.0,3.857142857
1173,CA,F,1072.0,,306.0,378.0,427.0,17.85714286
1174,MI,F,782.0,462.0,475.0,498.0,504.0,20.18181818
1175,IL,M,464.0,225.0,291.0,277.0,364.0,
1176,,M,1803.0,281.0,418.0,364.0,492.0,13.71428571
1177,TX,F,1329.0,685.0,727.0,689.0,743.0,
1178,AL,F,408.0,215.0,253.0,259.0,286.0,8.444444444
1179,CA,F,1537.0,495.0,509.0,,544.0,13.0
1180,,F,488.0,300.0,314.0,282.0,,
1181,SC,M,799.0,429.0,445.0,421.0,467.0,9.125
1182,CA,F,1722.0,,406.0,365.0,408.0,6.071428571
1183,MO,F,365.0,215.0,249.0,269.0,296.0,13.33333333
1184,FL,M,518.0,,213.0,228.0,264.0,9.333333333
1185,CA,F,2486.0,475.0,508.0,516.0,543.0,3.491935484
1186,CA,F,2813.0,313.0,366.0,,474.0,
1187,MI,M,237.0,255.0,250.0,274.0,274.0,12.84615385
1188,SC,F,545.0,302.0,316.0,324.0,338.0,15.0
1189,SC,M,482.0,239.0,282.0,287.0,335.0,5.071428571
1190,WA,,506.0,274.0,320.0,310.0,356.0,10.0
1191,NC,M,621.0,267.0,328.0,300.0,352.0,10.5875
1192,TX,M,564.0,199.0,207.0,274.0,288.0,8.730769231
1193,FL,F,398.0,193.0,207.0,195.0,210.0,
1194,MI,M,667.0,333.0,,345.0,395.0,6.722222222
1195,TX,M,948.0,545.0,604.0,655.0,684.0,5.0
1196,OR,F,953.0,319.0,379.0,387.0,,
1197,NC,F,1070.0,,420.0,435.0,476.0,6.533333333
1198,CA,M,1029.0,415.0,401.0,408.0,413.0,
1199,CA,M,1325.0,381.0,458.0,403.0,464.0,16.35294118
1200,MO,F,806.0,,393.0,386.0,441.0,4.0
1201,TX,F,339.0,158.0,161.0,212.0,207.0,8.25
1202,WI,M,1040.0,492.0,505.0,,569.0,
1203,NC,M,487.0,273.0,308.0,275.0,314.0,5.0
1204,WI,M,498.0,278.0,348.0,357.0,390.0,8.333333333
1205,CA,F,942.0,204.0,254.0,306.0,304.0,5.611111111
1206,GA,F,1156.0,420.0,617.0,,655.0,31.0
1207,WA,F,904.0,296.0,372.0,330.0,407.0,13.6
1208,IA,M,324.0,146.0,192.0,,202.0,12.5
1209,CA,M,1771.0,,335.0,322.0,341.0,11.1875
1210,NC,M,1203.0,462.0,473.0,497.0,543.0,
1211,MN,M,737.0,506.0,504.0,472.0,469.0,8.454545455
1212,NC,M,504.0,191.0,228.0,246.0,287.0,5.0
1213,CA,M,931.0,307.0,318.0,332.0,343.0,5.090909091
1214,OR,F,819.0,259.0,275.0,331.0,367.0,7.538461539
1215,TX,,1490.0,612.0,645.0,733.0,818.0,18.47826087
1216,CA,F,2521.0,,424.0,512.0,516.0,5.555555556
1217,CA,F,1364.0,244.0,255.0,296.0,308.0,18.75
1218,LA,F,456.0,238.0,263.0,281.0,317.0,
1219,IN,M,501.0,359.0,407.0,385.0,445.0,7.5
1220,CA,F,810.0,180.0,214.0,217.0,264.0,12.83333333
1221,CA,,1960.0,265.0,321.0,362.0,,6.3
1222,CA,F,770.0,213.0,264.0,276.0,313.0,4.714285714
1223,,F,619.0,244.0,271.0,300.0,324.0,12.25
1224,NM,M,544.0,259.0,305.0,322.0,341.0,20.0
1225,CA,F,1436.0,308.0,347.0,338.0,372.0,25.0
1226,,F,1588.0,450.0,,,511.0,16.2
1227,KS,,227.0,202.0,241.0,220.0,251.0,
1228,GA,M,679.0,350.0,374.0,377.0,402.0,
1229,KY,M,1111.0,506.0,591.0,552.0,636.0,6.636363636
1230,OR,M,803.0,222.0,240.0,,326.0,
1231,FL,F,665.0,240.0,264.0,273.0,312.0,7.0
1232,OR,M,646.0,,249.0,305.0,328.0,
1233,NC,M,2441.0,579.0,740.0,697.0,,
1234,CA,F,1985.0,414.0,446.0,,490.0,10.36363636
1235,CA,F,1016.0,235.0,246.0,278.0,303.0,20.0
1236,AR,M,596.0,308.0,316.0,345.0,361.0,11.81818182
1237,AR,M,851.0,299.0,363.0,330.0,387.0,15.0
1238,,M,725.0,305.0,309.0,349.0,360.0,10.22222222
1239,TN,,457.0,186.0,,237.0,292.0,9.333333333
1240,WI,F,377.0,311.0,363.0,320.0,375.0,
1241,MI,M,1223.0,575.0,644.0,638.0,704.0,25.0
1242,,M,308.0,182.0,220.0,,269.0,10.0
1243,IL,M,1097.0,312.0,463.0,371.0,473.0,
1244,OR,M,1060.0,340.0,425.0,,500.0,15.0
1245,IL,,870.0,356.0,405.0,361.0,420.0,26.66666667
1246,IA,M,543.0,271.0,349.0,339.0,387.0,4.964285714
1247,GA,F,1063.0,,529.0,526.0,558.0,
1248,AL,F,402.0,186.0,,230.0,287.0,37.2
1249,OR,M,770.0,228.0,282.0,272.0,318.0,20.0
1250,AL,F,364.0,170.0,231.0,221.0,277.0,
1251,,M,620.0,323.0,358.0,348.0,373.0,3.35516129
1252,FL,F,577.0,157.0,324.0,224.0,,11.09090909
1253,NC,,897.0,454.0,473.0,444.0,479.0,13.0
1254,KY,M,651.0,,345.0,361.0,359.0,9.666666667
1255,CA,F,2292.0,642.0,670.0,680.0,710.0,6.4
1256,FL,F,972.0,316.0,,388.0,,11.2
1257,,M,1035.0,273.0,386.0,356.0,471.0,11.42857143
1258,GA,F,431.0,258.0,283.0,,319.0,
1259,KS,F,351.0,,245.0,225.0,356.0,12.89473684
1260,CA,M,439.0,203.0,203.0,230.0,228.0,5.636363636
1261,CA,M,1967.0,371.0,418.0,438.0,482.0,5.261851852
1262,CO,F,952.0,394.0,407.0,436.0,,6.142857143
1263,TX,F,637.0,404.0,407.0,446.0,457.0,4.714285714
1264,,M,1413.0,414.0,482.0,489.0,539.0,8.0
1265,IN,F,360.0,206.0,266.0,252.0,307.0,
1266,OR,M,719.0,224.0,269.0,280.0,321.0,
1267,NC,F,1071.0,357.0,494.0,490.0,,
1268,CO,M,1460.0,551.0,565.0,641.0,668.0,7.102941177
1269,CA,F,2766.0,362.0,433.0,398.0,439.0,13.0
1270,MN,F,528.0,204.0,271.0,243.0,335.0,8.333333333
1271,,M,1345.0,,635.0,629.0,678.0,
1272,FL,,747.0,,385.0,398.0,376.0,4.722222222
1273,NC,F,498.0,,284.0,285.0,326.0,20.0
1274,FL,F,881.0,,464.0,388.0,496.0,11.0
1275,CO,F,957.0,,360.0,365.0,400.0,5.0
1276,,M,920.0,160.0,753.0,348.0,633.0,15.0
1277,OR,M,693.0,213.0,,232.0,259.0,
1278,CA,F,1922.0,284.0,307.0,300.0,332.0,5.545454545
1279,FL,F,1473.0,611.0,647.0,649.0,688.0,
1280,IN,F,369.0,251.0,305.0,295.0,346.0,5.625
1281,CO,F,1070.0,505.0,510.0,,518.0,
1282,TX,F,340.0,,221.0,,237.0,
1283,IN,F,684.0,272.0,321.0,298.0,357.0,13.5
1284,SC,M,454.0,244.0,285.0,280.0,320.0,10.77777778
1285,IL,M,574.0,,318.0,315.0,,3.555555556
1286,NC,F,730.0,309.0,374.0,365.0,419.0,
1287,IA,M,588.0,332.0,380.0,,405.0,4.0
1288,OR,F,1465.0,514.0,638.0,,720.0,7.818181818
1289,NC,F,824.0,285.0,305.0,333.0,356.0,9.909090909
1290,FL,M,852.0,443.0,446.0,480.0,497.0,
1291,MI,F,777.0,444.0,485.0,476.0,511.0,9.3
1292,TX,F,532.0,237.0,404.0,297.0,396.0,12.0
1293,CA,M,2917.0,625.0,613.0,712.0,709.0,10.09090909
1294,CA,F,1990.0,301.0,,389.0,395.0,
1295,AR,M,844.0,293.0,336.0,,390.0,
1296,TX,M,822.0,228.0,322.0,321.0,385.0,10.75
1297,SC,F,761.0,396.0,422.0,425.0,464.0,6.466666667
1298,FL,F,965.0,356.0,453.0,426.0,495.0,9.538461539
1299,MO,F,150.0,,197.0,198.0,239.0,
1300,CO,F,607.0,239.0,260.0,256.0,279.0,3.6
1301,,F,760.0,469.0,505.0,492.0,544.0,
1302,IL,F,445.0,234.0,253.0,270.0,,
1303,CO,F,1331.0,503.0,579.0,561.0,635.0,12.2
1304,IL,F,598.0,371.0,453.0,419.0,487.0,11.5
1305,KY,,683.0,267.0,309.0,325.0,362.0,16.57142857
1306,MO,M,150.0,202.0,251.0,223.0,258.0,
1307,AR,F,502.0,247.0,298.0,292.0,336.0,9.0
1308,CA,F,1856.0,504.0,523.0,516.0,536.0,13.0
1309,IL,M,301.0,,354.0,267.0,347.0,10.5
1310,AL,F,1075.0,511.0,,552.0,590.0,5.8
1311,KY,,283.0,149.0,168.0,207.0,227.0,5.111111111
1312,AR,F,1054.0,584.0,644.0,652.0,726.0,13.53846154
1313,WI,F,1260.0,252.0,357.0,309.0,404.0,4.857142857
1314,MI,F,574.0,299.0,363.0,360.0,420.0,6.166666667
1315,TN,F,402.0,194.0,229.0,234.0,267.0,12.0
1316,TX,,557.0,211.0,188.0,221.0,205.0,13.0
1317,,F,320.0,148.0,183.0,202.0,233.0,
1318,OR,F,758.0,407.0,409.0,,457.0,7.454545455
1319,MI,F,836.0,332.0,,380.0,425.0,4.476190476
1320,TN,F,468.0,245.0,308.0,294.0,315.0,8.0
1321,CA,F,2541.0,,486.0,454.0,528.0,24.28571429
1322,MI,M,497.0,362.0,452.0,384.0,421.0,
1323,,M,1003.0,258.0,322.0,318.0,386.0,25.0
1324,TX,M,770.0,477.0,522.0,,578.0,
1325,CO,M,739.0,369.0,368.0,419.0,428.0,
1326,GA,F,2140.0,,789.0,816.0,850.0,3.761904762
1327,IA,F,1282.0,550.0,,607.0,703.0,4.857142857
1328,CA,,1167.0,211.0,272.0,329.0,406.0,11.14285714
1329,,F,636.0,281.0,311.0,295.0,341.0,8.75
1330,CA,M,1834.0,442.0,371.0,441.0,420.0,14.8
1331,IL,M,912.0,334.0,393.0,375.0,,8.5625
1332,CA,F,2125.0,375.0,,411.0,468.0,20.0
1333,MO,F,1180.0,513.0,548.0,554.0,607.0,
1334,CA,F,669.0,,,214.0,226.0,8.4
1335,GA,F,533.0,301.0,349.0,339.0,386.0,8.2
1336,OR,M,480.0,203.0,217.0,202.0,237.0,17.33333333
1337,TX,,435.0,174.0,209.0,256.0,289.0,12.83333333
1338,NC,F,548.0,,307.0,,317.0,
1339,,M,447.0,214.0,280.0,265.0,314.0,12.33333333
1340,FL,,467.0,192.0,261.0,,323.0,15.0
1341,MI,M,327.0,232.0,256.0,284.0,325.0,13.66666667
1342,IL,F,890.0,437.0,426.0,459.0,455.0,8.285714286
1343,CA,F,2947.0,,658.0,665.0,754.0,
1344,FL,F,679.0,192.0,238.0,242.0,321.0,7.428571429
1345,CA,F,1878.0,351.0,439.0,389.0,,5.3
1346,FL,F,742.0,239.0,293.0,290.0,356.0,
1347,OK,F,466.0,332.0,368.0,368.0,,10.87878788
1348,CA,F,911.0,325.0,358.0,330.0,,
1349,WA,,952.0,414.0,452.0,484.0,529.0,14.22222222
1350,FL,M,879.0,235.0,,303.0,327.0,10.5
1351,IN,F,573.0,393.0,437.0,413.0,471.0,16.28571429
1352,CA,F,1644.0,396.0,426.0,450.0,489.0,3.0
1353,CO,F,905.0,215.0,245.0,269.0,331.0,13.14285714
1354,GA,,406.0,183.0,225.0,245.0,287.0,7.444444444
1355,WA,F,430.0,221.0,234.0,236.0,,10.27272727
1356,FL,F,492.0,200.0,244.0,243.0,288.0,
1357,GA,M,553.0,325.0,334.0,343.0,345.0,7.2
1358,AR,F,719.0,,366.0,331.0,407.0,5.428571429
1359,WA,M,1761.0,583.0,588.0,692.0,715.0,12.5
1360,MI,M,800.0,409.0,448.0,433.0,,20.83333333
1361,IN,M,789.0,383.0,,412.0,462.0,9.916666667
1362,MI,M,545.0,265.0,281.0,,328.0,10.0625
1363,MN,,745.0,326.0,382.0,374.0,428.0,11.42857143
1364,FL,M,1144.0,333.0,443.0,436.0,505.0,14.81818182
1365,FL,F,730.0,181.0,,,272.0,10.5
1366,NM,F,506.0,191.0,214.0,253.0,273.0,14.81818182
1367,CA,F,1748.0,351.0,355.0,382.0,391.0,
1368,CA,F,2159.0,233.0,280.0,247.0,394.0,20.17647059
1369,NC,F,739.0,309.0,402.0,405.0,451.0,10.42857143
1370,CA,F,2153.0,320.0,379.0,360.0,397.0,22.5
1371,CA,F,2051.0,523.0,545.0,543.0,561.0,33.0
1372,AR,F,1553.0,,653.0,694.0,725.0,23.33333333
1373,CA,M,986.0,354.0,389.0,369.0,405.0,7.6
1374,GA,,442.0,218.0,253.0,257.0,286.0,
1375,KS,F,405.0,241.0,274.0,291.0,349.0,21.06666667
1376,OK,M,922.0,374.0,442.0,449.0,501.0,14.0
1377,,F,506.0,243.0,285.0,294.0,336.0,9.090909091
1378,AR,M,723.0,265.0,361.0,351.0,485.0,18.4
1379,OR,,528.0,,338.0,306.0,,12.47826087
